uuid,Title,Organization,Location,Description,Start time,End time,Published,Public,Tags,Interested,Favorites,Creation date,Last Modified,Has cover,Capacity
48726031-8e50-5e24-9128-490321c97392,Grads of Color Lounge,BerkeleyGA,Anthony Hall,,2020-03-04 19:00:00,2020-03-04 20:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
62798ec4-560a-50f6-8ed3-6ff520730997,GSC Monthly Happy Hour: March,BerkeleyGA,"Raleigh's, Berkeley, CA",,2020-03-07 00:00:00,2020-03-07 01:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
d47924f4-e41a-5c9e-91ef-a7bff655eb97,Board Games at Victory Point Cafe,BerkeleyGA,"Victory Point Cafe, Berkeley, CA",,2020-03-07 20:00:00,2020-03-07 21:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
7542a720-af3b-5350-b74a-6feff247b427,Lunchtime Arts Series: Paper Lanterns,BerkeleyGA,Berkeley Arts Studio (MLK Jr. Building ASUC Student Union),,2020-03-12 19:00:00,2020-03-12 20:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
6b1558d4-8c82-55c1-a530-3027c52d01e3,Lunchtime Arts Series: Origami,BerkeleyGA,Berkeley Arts Studio (MLK Jr. Building ASUC Student Union),,2020-04-02 19:00:00,2020-04-02 20:30:00,1,1,"[8, 24, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
99a73f3a-3129-5714-80cb-d41bebdc9da0,12th Annual Cultural Banquet,berkeleyASA,"Pauley Ballroom, Berkeley, CA",,2020-03-15 01:00:00,2020-03-15 02:30:00,1,1,"[4, 25]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
1438931c-6ce2-5f03-b7ae-b94deed3c1e0,Using Digital Learning Platforms for Data Science Education,UCBdatascience,"Academic Innovation Studio, Berkeley, CA",,2020-03-05 22:30:00,2020-03-06 00:00:00,1,1,"[1, 27, 22]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
a749b508-d288-5a64-ae81-bb6647370d51,Women in Tech Symposium: Reimagining Cybersecurity for All,UCBdatascience,"Sibley Auditorium, Bechtel Hall, Berkeley, CA",,2020-03-06 15:00:00,2020-03-06 16:30:00,1,1,"[1, 27, 22]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
4453148f-e023-5e00-82e7-933e2c93b5b8,AI Governance: Mitigating Misuse Potential,UCBdatascience,"Bancroft Hotel, Berkeley, CA",,2020-03-18 23:00:00,2020-03-19 00:30:00,1,1,"[1, 27, 22]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
beafd8c8-d820-5304-87a7-f40ecbcd4ed5,DXPicnic,dxpcal,"Faculty Glade, UC Berkeley, Berkeley, CA",,2020-04-04 19:00:00,2020-04-04 20:30:00,1,1,"[""1""]",[],[],2020-01-01 12:00:00,2020-01-01 12:00:00,0,0
